,signal_date,entry_date,exit_date,days_held,outcome,exit_route,route_reason,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,init_stop_price,partial_at_%,partials_taken_n,remaining_frac,days_since_high
14,2024-06-20,2024-06-21,2024-07-22,20,STOP,fixed,chop:adx=14,UPTREND,48.78,48.53,48.53,55.81,43.68,43.29,-10.79,-10.99,false,false,3.5,17.83,11.92,68.72,21.14,5.21,6.83,0.57,13.94,114.69,-24.09,2147586,0.5,43.68,,0,1,0
15,2024-06-13,2024-06-14,2024-06-20,3,TARGET,fixed,chop:adx=10|dist=8.6,UPTREND,44.71,44.49,44.49,51.16,40.04,51.16,15,14.8,false,false,1.71,8.65,4.02,56.96,3.62,5.29,1,0.29,10.45,82.62,-30.42,483548,0.5,40.04,,0,1,0
16,2024-06-10,2024-06-11,2024-06-20,6,TARGET,fixed,chop:adx=11|dist=8.4,UPTREND,44.42,44.2,44.2,50.83,39.78,50.83,15,14.8,false,false,3.27,8.37,4.28,56.14,2.25,5.65,2.35,0.12,11.27,86.39,-30.87,344461,0.5,39.78,,0,1,0
17,2024-05-24,2024-05-27,2024-06-04,6,STOP,fixed,chop:adx=12|dist=8.7,UPTREND,44.03,43.81,43.1,49.56,39.48,39.48,-8.4,-8.6,false,false,2.61,8.73,2.28,54.87,8.42,4.94,2.98,0.11,11.69,69.29,-31.48,397225,2.15,39.48,,0,1,0
18,2024-04-23,2024-04-24,2024-05-08,9,STOP,trailing,trending,UPTREND,46.57,46.34,46.34,53.29,41.7,41.7,-10,-10.2,false,false,4.51,17.93,10.29,58.81,0.85,6.69,2.64,0.33,20.1,80.28,-27.53,266312,0.5,41.7,,0,1,8
19,2024-04-03,2024-04-04,2024-04-12,5,STOP,trailing,trending,UPTREND,48.52,48.28,48.28,55.52,43.45,43.45,-10,-10.2,false,false,10.93,24.55,21.33,64.25,24.59,6.74,7.87,0.94,28.87,119.33,-24.49,1050847,0.5,43.45,,0,1,4
21,2024-01-01,2024-01-02,2024-01-16,10,STOP,fixed,chop:vol_self,UPTREND,48.47,48.23,48.23,55.47,43.41,43.41,-10,-10.2,false,false,6.38,35.62,21.62,78.08,17.81,5.45,5.24,0.62,24.13,130.72,-4.34,3665290,0.5,43.41,,0,1,0
22,2023-12-28,2023-12-29,2024-01-01,1,TARGET,fixed,chop:adx=20|dist=11.0|vol_self,UPTREND,39.53,39.33,39.33,45.23,35.68,45.23,15,13.9887,false,false,19.01,11,1.31,55.46,-3.8,4.89,1.23,-0.21,19.73,59.36,-16.94,601148,0.5,35.68,,0,1,0
23,2023-12-12,2023-12-13,2023-12-21,6,STOP,fixed,chop:sma200_flat|dist=14.6|vol_self,UPTREND,40.41,40.21,40.21,46.24,36.19,36.19,-10,-10.2,false,false,4.27,14.6,6.7,65.89,5.62,4.36,2.35,0.24,22.26,96.88,-28.89,744288,0.5,36.19,,0,1,0
24,2023-12-06,2023-12-07,2023-12-29,15,TARGET,fixed,chop:adx=19|sma200_flat|dist=8.8|vol_self,UPTREND,38.31,38.12,38.12,43.84,35.74,43.84,15,13.9887,false,false,2.55,8.79,3.25,57.43,3.29,4.36,2.06,0.03,18.68,73.3,-32.59,123780,0.5,35.74,,0,1,0
25,2023-11-28,2023-11-29,2023-12-29,21,TARGET,fixed,chop:sma200_flat|dist=8.7|vol_self,UPTREND,38.26,38.07,37.68,43.33,34.7,43.33,15,13.9887,false,false,2.08,8.69,6.44,58.86,4.96,4.54,1,0.42,21.97,79.76,-32.67,392064,1.56,34.7,,0,1,0
26,2023-11-24,2023-11-28,2023-12-29,22,TARGET,fixed,chop:sma200_flat|dist=11.0|vol_self,UPTREND,39.09,38.9,38.9,44.73,35.01,44.73,15,13.9887,false,false,2.26,11.04,9.36,64.18,11.42,4.44,1.26,0.49,21.62,94.04,-31.21,646937,0.5,35.01,,0,1,0
27,2023-11-22,2023-11-23,2023-12-29,24,TARGET,fixed,chop:adx=19|sma200_flat|dist=12.1|vol_self,UPTREND,39.48,39.29,39.29,45.18,35.36,45.18,15,13.9887,false,false,2,12.15,12.13,67.23,11.29,4.7,4.58,0.43,18.9,115.3,-30.52,630923,0.5,35.36,,0,1,0
28,2023-10-16,2023-10-17,2023-10-23,4,STOP,fixed,chop:adx=18|sma200_flat|dist=8.4|vol_self,UPTREND,38.9,38.7,38.7,44.51,34.83,34.83,-10,-10.2,false,false,2.27,8.41,5.72,60.18,8.15,4.59,3.3,0.08,17.6,110.27,-31.56,300528,0.5,34.83,,0,1,0
29,2023-09-06,2023-09-07,2023-09-11,2,STOP,fixed,chop:sma200_flat|vol_self,UPTREND,42.71,42.49,42.49,48.87,38.25,38.25,-10,-10.2,false,false,3.03,17.93,20.3,79.96,23.62,4.56,3.36,0.86,36.19,109.91,-24.85,2032618,0.5,38.25,,0,1,0
30,2023-08-30,2023-08-31,2023-09-06,4,TARGET,fixed,chop:sma200_flat|dist=8.7|vol_self,UPTREND,39.29,39.09,39.09,44.95,35.18,44.95,15,13.9887,false,false,1.88,8.69,15.73,81.67,17.54,3.45,9.55,0.44,23.04,149.1,-30.87,1460217,0.5,35.18,,0,1,0
31,2023-08-22,2023-08-23,2023-08-30,5,TARGET,fixed,chop:sma200_flat|dist=-4.7|vol_self,DOWNTREND,34.55,34.37,34.37,36.44,32.48,36.44,6,5.482,false,false,2.07,-4.68,3.34,61.52,2.76,2.99,4.55,0.11,25.56,114.93,-39.21,91974,0.5,32.48,,0,1,0
32,2023-06-06,2023-06-07,2023-07-10,22,STOP,fixed,chop:dist=-0.1|vol_self,DOWNTREND,36.84,36.66,36.66,38.86,32.99,32.99,-10,-10.2,false,false,2.1,-0.13,4.66,59.94,8.02,4.14,6,0.06,28.7,83.33,-35.17,394212,0.5,32.99,,0,1,0
33,2023-04-12,2023-04-13,2023-04-25,7,STOP,fixed,chop:adx=16|sma200_flat|dist=12.6|vol_self,UPTREND,40.66,40.45,40.12,46.14,36.11,36.11,-10,-10.2,false,false,0.12,12.56,25.13,72.36,29.19,5.04,6.52,0.89,16.36,140.63,-45.34,913110,1.34,36.11,,0,1,0
34,2023-03-03,2023-03-06,2023-03-28,15,STOP,fixed,chop:adx=19|sma200_flat|dist=-6.9,DOWNTREND,33.96,33.79,33.79,35.82,30.41,30.35,-10.2,-10.4,false,false,3.68,-6.85,-2.72,43.14,-6.46,5.31,1.58,0.05,19.34,39.97,-54.34,7496,0.5,30.41,,0,1,0
35,2022-12-28,2022-12-29,2023-01-24,18,STOP,fixed,chop:vol_self,UPTREND,42.95,42.74,42.74,49.15,38.46,38.46,-10.02,-10.22,false,false,5.42,18.33,5.17,54.69,15.66,7.39,0.66,-0.24,22.89,61.68,-42.25,2418096,0.5,38.46,,0,1,0
36,2022-12-19,2022-12-20,2022-12-21,1,STOP,fixed,chop:vol_self,UPTREND,53.61,53.34,53.34,61.34,48,45.54,-14.61,-14.81,false,false,4.35,50.74,35.73,85.91,36.95,5.3,5.75,1.33,28.35,133.63,-27.92,3066077,0.5,48,,0,1,0
37,2022-12-07,2022-12-08,2022-12-12,2,STOP,fixed,chop:dist=11.8|vol_self,UPTREND,38.85,38.65,38.65,44.45,36.29,36.29,-6.12,-6.32,false,false,3.28,11.8,2.83,59.16,4.74,4.2,0.76,0.13,24.99,74.73,-47.77,263807,0.5,36.29,,0,1,0
38,2022-12-06,2022-12-07,2022-12-16,7,TARGET,fixed,chop:dist=12.8|vol_self,UPTREND,39.09,38.9,38.9,44.73,35.69,44.73,15,12.3623,false,false,1.76,12.77,3.49,61.54,7.1,4.29,1.21,0.18,24.33,80.77,-47.44,407954,0.5,35.69,,0,1,0
