ticker,category,sector
CARRARO,SmallCap,
CARTRADE,SmallCap,Consumer Services
CARYSIL,SmallCap,
CASTROLIND,SmallCap,Oil Gas & Consumable Fuels
CCAVENUE,SmallCap,
CCCL,SmallCap,
CCHHL,SmallCap,
CCL,SmallCap,Fast Moving Consumer Goods
CDSL,SmallCap,Financial Services
CEATLTD,SmallCap,Automobile and Auto Components
CEIGALL,SmallCap,
CEINSYS,SmallCap,
CELEBRITY,SmallCap,
CELLO,SmallCap,
CEMPRO,SmallCap,Construction
CENTENKA,SmallCap,
CENTEXT,SmallCap,
CENTRALBK,SmallCap,Financial Services
CENTRUM,SmallCap,
CENTUM,SmallCap,
CENTURYPLY,SmallCap,
CERA,SmallCap,
CESC,SmallCap,Power
CEWATER,SmallCap,
CGCL,SmallCap,Financial Services
CGPOWER,LargeCap,Capital Goods
CHALET,SmallCap,Consumer Services
CHAMBLFERT,SmallCap,Chemicals
CHEMBOND,SmallCap,
CHEMBONDCH,SmallCap,
CHEMCON,SmallCap,
CHEMFAB,SmallCap,
CHEMPLASTS,SmallCap,
CHENNPETRO,SmallCap,Oil Gas & Consumable Fuels
CHEVIOT,SmallCap,
CHOICEIN,SmallCap,Financial Services
CHOLAFIN,LargeCap,Financial Services
CHOLAHLDNG,SmallCap,Financial Services
CIEINDIA,SmallCap,Automobile and Auto Components
CIFL,SmallCap,
CINELINE,SmallCap,
CINEVISTA,SmallCap,
CIPLA,LargeCap,Healthcare
CLCIND,SmallCap,
CLEAN,SmallCap,Chemicals
CLEANMAX,SmallCap,
CLEDUCATE,SmallCap,
CLSEL,SmallCap,
CMLL,SmallCap,
CMPDI,SmallCap,
CMRGREEN,SmallCap,
CMSINFO,SmallCap,
CNL,SmallCap,
COALINDIA,LargeCap,Oil Gas & Consumable Fuels
COASTCORP,SmallCap,
COCHINSHIP,MidCap,Capital Goods
COCKERILL,SmallCap,
COFFEEDAY,SmallCap,
COFORGE,MidCap,Information Technology
COHANCE,SmallCap,Healthcare
COLPAL,MidCap,Fast Moving Consumer Goods
COMFINTE,SmallCap,
COMPUSOFT,SmallCap,
COMSYN,SmallCap,
CONCOR,MidCap,Services
CONCORDBIO,SmallCap,Healthcare
CONFIPET,SmallCap,
CONSOFINVT,SmallCap,
CONTROLPR,SmallCap,
CORALFINAC,SmallCap,
CORDELIA,SmallCap,
CORDSCABLE,SmallCap,
COROMANDEL,MidCap,Chemicals
CORONA,SmallCap,
COSMOFIRST,SmallCap,
COUNCODOS,SmallCap,
CPCAP,SmallCap,
CPEDU,SmallCap,
CPL,SmallCap,
CPPLUS,SmallCap,Capital Goods
CRAFTSMAN,SmallCap,Automobile and Auto Components
CRAMC,SmallCap,
CREATIVEYE,SmallCap,
CREDITACC,SmallCap,Financial Services
CREST,SmallCap,
CRISIL,MidCap,Financial Services
CRIZAC,SmallCap,
CROMPTON,SmallCap,Consumer Durables
CROWN,SmallCap,
CSBBANK,SmallCap,
CSLFINANCE,SmallCap,
CSM,SmallCap,
CTE,SmallCap,
CUB,SmallCap,Financial Services
CUBEXTUB,SmallCap,
CUMMINSIND,LargeCap,Capital Goods
CUPID,SmallCap,
CURAA,SmallCap,
CYBERMEDIA,SmallCap,
CYBERTECH,SmallCap,
CYIENT,SmallCap,Information Technology
CYIENTDLM,SmallCap,
DABUR,MidCap,Fast Moving Consumer Goods
DAICHI,SmallCap,
DALBHARAT,MidCap,Construction Materials
DALMIASUG,SmallCap,
DAMCAPITAL,SmallCap,
DAMODARIND,SmallCap,
DANGEE,SmallCap,
DATAMATICS,SmallCap,
DATAPATTNS,SmallCap,Capital Goods
DAVANGERE,SmallCap,
DBCORP,SmallCap,
DBEIL,SmallCap,
DBL,SmallCap,
DBOL,SmallCap,
DBREALTY,SmallCap,
DBSTOCKBRO,SmallCap,
DCAL,SmallCap,
DCBBANK,SmallCap,
DCI,SmallCap,
DCM,SmallCap,
DCMFINSERV,SmallCap,
DCMNVL,SmallCap,
DCMSHRIRAM,SmallCap,Diversified
DCMSIL,SmallCap,
DCMSRIND,SmallCap,
DCW,SmallCap,
DCXINDIA,SmallCap,
DDEVPLSTIK,SmallCap,
DECCANCE,SmallCap,
DECNGOLD,SmallCap,
DEEDEV,SmallCap,
DEEPAKFERT,SmallCap,Chemicals
DEEPAKNTR,SmallCap,Chemicals
DEEPINDS,SmallCap,
DELHIVERY,SmallCap,Services
DELPHIFX,SmallCap,
DELTACORP,SmallCap,
DELTAMAGNT,SmallCap,
DEN,SmallCap,
DENORA,SmallCap,
DENTA,SmallCap,
DEVIT,SmallCap,
DEVX,SmallCap,
DEVYANI,SmallCap,Consumer Services
DGCONTENT,SmallCap,
DHAMPURSUG,SmallCap,
DHANBANK,SmallCap,
DHANUKA,SmallCap,
DHARMAJ,SmallCap,
DHRUV,SmallCap,
DHUNINV,SmallCap,
DIACABS,SmallCap,
DIAMINESQ,SmallCap,
DIAMONDYD,SmallCap,
DICIND,SmallCap,
DIFFNKG,SmallCap,
DIGIDRIVE,SmallCap,
DIGISPICE,SmallCap,
DIGITIDE,SmallCap,
DIGJAMLMTD,SmallCap,
DISAQ,SmallCap,
